	[function=multiply_factors_test_1]:  1
	[function=multiply_factors_test_2]:  1
	[function=multiply_factors_test_3]:  1
	[function=old_VE_tests]:  8
	[function=old_multiply_factors_tests]:  3
	[function=old_restrict_factor_tests]:  3
	[function=old_sum_out_variable_tests]:  2
	[function=restrict_factor_test_1]:  1
	[function=restrict_factor_test_2]:  1
	[function=restrict_factor_test_3]:  1
	[function=sum_out_variable_test_1]:  1
	[function=sum_out_variable_test_2]:  1
	[function=sum_out_variable_test_3]:  1
	[function=ve_test_1]:  1
	[function=ve_test_2]:  1
	[function=ve_test_3]:  1
	[function=ve_test_4]:  1
	[function=ve_test_5]:  1
	[function=ve_test_6]:  1
	[function=ve_test_7]:  1

dajanir1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
berrysea,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
goyalak2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lakhtak1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiahjia,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
fanfeiya,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
abdul180,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
masong,1,1,0,2,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,18
huan2500,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
malikins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graha175,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yeqixin,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
srimuru3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhan5954,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shwedmat,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
xiaxinti,1,1,1,8,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,25
zhan4159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanzhir,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
luraymon,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
ouyang20,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
xiazhong,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangq145,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
yangmat3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
fongkwan,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,0,0,0,0,27
